ORG_LEVEL,CITY,AREA,DISTRICT,SECTOR,SAFETY,TRUST,START_DATE,END_DATE
Other,chicago,,,,59.31,56.52,11/18/2018,11/24/2018
Other,chicago,,,,59.31,56.52,11/18/2018,11/24/2018
Other,chicago,area_3,18,,70.41,71.5,08/01/2018,08/31/2018
Other,chicago,NORTH,,,68.14,61.82,01/14/2018,01/20/2018
Other,chicago,area_4,15,1510,58.75,54.2,04/01/2018,04/30/2018
Other,chicago,area_3,,,67.89,69.04,04/01/2019,04/30/2019
Other,chicago,area_4,11,1110,50.72,45.71,02/01/2019,02/28/2019
Other,chicago,area_1,7,730,51.14,30.54,01/01/2019,01/31/2019
Other,chicago,area_2,5,520,51.67,54.38,10/01/2020,10/31/2020
Other,chicago,area_3,19,,67.52,73.54,07/01/2019,07/31/2019
Other,chicago,area_5,17,1720,65.87,70.03,02/01/2019,02/28/2019
Other,chicago,area_3,24,2430,65.26,57.93,09/01/2020,09/30/2020
Other,chicago,area_5,17,1730,66.62,66.72,08/01/2019,08/31/2019
Other,chicago,area_1,9,930,56.75,58.59,02/01/2020,02/29/2020
Other,chicago,area_3,24,2430,65.42,71.07,10/01/2019,10/31/2019
Other,chicago,area_5,14,1430,65.38,57.13,10/01/2019,10/31/2019
Other,chicago,area_4,11,,56.18,52.93,07/01/2018,07/31/2018
Other,chicago,area_4,10,,49.04,55.3,05/01/2018,05/31/2018
Other,chicago,area_1,9,920,47.44,71.78,09/01/2020,09/30/2020
Other,chicago,area_3,12,1210,58.12,57.84,11/01/2017,11/30/2017
Other,chicago,area_1,9,,58.93,59.64,04/01/2018,04/30/2018
Other,chicago,area_3,20,,70.84,67.89,01/01/2019,01/31/2019
Other,chicago,area_2,6,630,55,50.45,05/01/2019,05/31/2019
Other,chicago,area_3,12,1230,62.6,56.02,06/01/2018,06/30/2018
Other,chicago,area_4,15,1510,52.26,58.07,06/01/2020,06/30/2020
Other,chicago,area_2,22,2230,65.07,50.29,05/01/2018,05/31/2018
Other,chicago,area_5,17,1720,66.1,65.85,10/01/2019,10/31/2019
Other,chicago,area_4,11,1120,46.32,48.79,10/01/2019,10/31/2019
Other,chicago,area_4,15,1520,46.62,50.09,12/01/2019,12/31/2019
Other,chicago,area_3,20,2020,61.97,61.98,11/01/2020,11/30/2020
Other,chicago,area_3,1,120,67.14,73.56,02/01/2019,02/28/2019
Other,chicago,area_5,25,2550,45.66,63.14,07/01/2020,07/31/2020
Other,chicago,area_5,16,1620,57.84,75.92,01/01/2021,01/31/2021
Other,chicago,area_1,8,830,56.94,59.38,03/01/2018,03/31/2018
Other,chicago,,,,59.84,59.22,10/21/2018,10/27/2018
Other,chicago,,,,59.84,59.22,10/21/2018,10/27/2018
Other,chicago,area_3,1,120,64.44,71.97,04/01/2019,04/30/2019
Other,chicago,area_5,,,66.74,66.76,07/01/2018,07/31/2018
Other,chicago,area_2,4,410,53.65,54.95,06/01/2018,06/30/2018
Other,chicago,area_1,8,830,66.34,67.75,11/01/2019,11/30/2019
Other,chicago,area_3,12,1210,67.1,69.37,10/01/2018,10/31/2018
Other,chicago,area_3,20,2020,68.49,66.56,09/01/2020,09/30/2020
Other,chicago,area_5,25,2540,57.44,69.18,02/01/2020,02/29/2020
Other,chicago,area_3,24,2410,57.94,64.32,03/01/2020,03/31/2020
Other,chicago,area_2,6,610,46.91,39.18,12/01/2018,12/31/2018
Other,chicago,area_5,16,1650,72.19,75.18,11/01/2018,11/30/2018
Other,chicago,area_2,5,530,52.18,44.94,04/01/2019,04/30/2019
Other,chicago,area_5,,,64.27,60.62,05/01/2018,05/31/2018
Other,chicago,,,,62.71,58.13,06/17/2018,06/23/2018
Other,chicago,,,,62.71,58.13,06/17/2018,06/23/2018
Other,chicago,area_1,8,820,59.9,59.99,02/01/2020,02/29/2020
Other,chicago,area_3,12,1230,63.21,60.32,12/01/2018,12/31/2018
Other,chicago,area_5,25,2530,50.36,59.3,03/01/2021,03/31/2021
Other,chicago,area_1,3,320,51.16,44.21,12/01/2017,12/31/2017
Other,chicago,NORTH,,,68.49,65.14,03/17/2019,03/23/2019
Other,chicago,area_1,2,,57.15,51.77,08/01/2019,08/31/2019
Other,chicago,area_1,2,230,58.28,64.29,03/01/2020,03/31/2020
Other,chicago,area_3,24,2410,54.15,61.04,03/01/2021,03/31/2021
Other,chicago,area_1,,,55.88,60.36,03/01/2020,03/31/2020
Other,chicago,area_3,1,120,52.46,72.48,11/01/2020,11/30/2020
Other,chicago,area_2,22,2220,57.91,54.55,01/01/2019,01/31/2019
Other,chicago,area_3,18,1820,59.74,79.58,01/01/2020,01/31/2020
Other,chicago,area_2,22,2220,64.77,55.62,04/01/2019,04/30/2019
Other,chicago,area_4,11,1120,38.75,43.73,05/01/2019,05/31/2019
Other,chicago,area_5,17,,69.05,61.29,02/01/2018,02/28/2018
Other,chicago,area_5,16,1630,65.15,66.12,07/01/2019,07/31/2019
Other,chicago,area_3,20,,72.3,68.68,05/01/2020,05/31/2020
Other,chicago,area_1,9,920,59.28,57.28,01/01/2018,01/31/2018
Other,chicago,area_2,4,410,52.95,48.54,02/01/2020,02/29/2020
Other,chicago,area_5,16,,66.81,74.44,11/01/2019,11/30/2019
Other,chicago,area_5,14,1410,64.03,60.81,11/01/2019,11/30/2019
Other,chicago,area_1,3,310,45.22,53.65,01/01/2021,01/31/2021
Other,chicago,area_3,24,2420,55.04,60.53,01/01/2020,01/31/2020
Other,chicago,area_2,6,620,56.74,44.27,10/01/2018,10/31/2018
Other,chicago,area_1,,,53.16,57.22,10/01/2020,10/31/2020
Other,chicago,area_3,1,130,43.72,70.24,01/01/2021,01/31/2021
Other,chicago,area_2,4,410,51.2,52.24,08/01/2018,08/31/2018
Other,chicago,SOUTH,,,61.05,53.82,04/15/2018,04/21/2018
Other,chicago,area_2,22,2210,69.12,70.82,01/01/2019,01/31/2019
Other,chicago,area_3,12,,55.14,57.62,11/01/2017,11/30/2017
Other,chicago,area_3,1,110,46.17,80.52,09/01/2020,09/30/2020
Other,chicago,area_2,4,,51.41,49.33,06/01/2019,06/30/2019
Other,chicago,area_5,14,1410,63.67,59.61,03/01/2019,03/31/2019
Other,chicago,area_1,9,930,55.85,50.89,05/01/2018,05/31/2018
Other,chicago,area_3,1,130,52.91,57.86,11/01/2017,11/30/2017
Other,chicago,area_2,5,530,43.94,47.1,05/01/2019,05/31/2019
Other,chicago,area_5,25,,61.46,69.82,11/01/2020,11/30/2020
Other,chicago,area_1,9,,52.8,55.63,07/01/2019,07/31/2019
Other,chicago,area_3,20,2020,70.12,64.66,02/01/2018,02/28/2018
Other,chicago,,,,66.04,59.8,12/17/2017,12/23/2017
Other,chicago,,,,66.04,59.8,12/17/2017,12/23/2017
Other,chicago,area_4,11,1110,44.31,44.55,01/01/2021,01/31/2021
Other,chicago,area_5,16,1650,76.94,80.63,04/01/2019,04/30/2019
Other,chicago,area_5,25,2520,56.34,60.8,06/01/2019,06/30/2019
Other,chicago,area_5,14,1410,66.22,65.47,08/01/2019,08/31/2019
Other,chicago,area_2,4,430,54.09,59.07,11/01/2017,11/30/2017
Other,chicago,area_1,7,730,51.3,51.66,03/01/2018,03/31/2018
Other,chicago,area_1,9,930,50.79,66.05,05/01/2020,05/31/2020
Other,chicago,area_2,5,530,57.86,56.39,05/01/2018,05/31/2018
Other,chicago,area_4,15,1510,41.85,53.93,02/01/2021,02/28/2021
Other,chicago,area_3,1,,69.42,74.78,03/01/2019,03/31/2019
Other,chicago,area_3,19,1910,62.97,66.89,02/01/2021,02/28/2021
Other,chicago,area_1,9,,62.33,58.45,12/01/2017,12/31/2017
Other,chicago,area_2,6,630,48.97,38.11,11/01/2018,11/30/2018
Other,chicago,area_1,8,,59.99,60,12/01/2017,12/31/2017
Other,chicago,area_4,10,1020,59.91,51.29,03/01/2018,03/31/2018
Other,chicago,area_3,18,1810,63.67,74.04,08/01/2019,08/31/2019
Other,chicago,area_5,,,58.62,68.08,03/01/2021,03/31/2021
Other,chicago,area_3,18,,70.71,64.39,04/01/2018,04/30/2018
Other,chicago,area_2,6,,58.47,58.45,01/01/2018,01/31/2018
Other,chicago,area_3,24,2430,70.71,63.42,04/01/2018,04/30/2018
Other,chicago,area_5,25,2540,52.46,55.92,11/01/2017,11/30/2017
Other,chicago,area_5,16,1620,69.49,62.29,05/01/2018,05/31/2018
Other,chicago,area_5,17,1710,66.65,82.32,06/01/2020,06/30/2020
Other,chicago,area_2,22,2210,69.7,68.61,12/01/2018,12/31/2018
Other,chicago,area_4,10,1030,46.66,55.35,02/01/2021,02/28/2021
Other,chicago,area_3,19,1910,65.24,61.54,03/01/2018,03/31/2018
Other,chicago,NORTH,,,64.02,64.94,08/19/2018,08/25/2018
Other,chicago,area_2,6,610,59.14,60.38,03/01/2020,03/31/2020
Other,chicago,area_2,6,630,55.57,47.42,08/01/2020,08/31/2020
Other,chicago,area_5,17,,65.36,68.36,12/01/2020,12/31/2020
Other,chicago,area_4,11,,42.71,42.74,09/01/2019,09/30/2019
Other,chicago,area_2,6,630,52.28,53.8,02/01/2018,02/28/2018
Other,chicago,area_5,14,1430,60.8,58.34,12/01/2019,12/31/2019
Other,chicago,area_2,22,2230,53.63,72.7,09/01/2020,09/30/2020
Other,chicago,area_2,6,620,50.76,53.79,03/01/2020,03/31/2020
Other,chicago,CENTRAL,,,65.88,58.41,01/07/2018,01/13/2018
Other,chicago,area_2,22,2230,55.46,63.19,06/01/2020,06/30/2020
Other,chicago,area_1,2,230,55.82,46.72,08/01/2019,08/31/2019
Other,chicago,area_3,24,2420,60.79,54.13,08/01/2019,08/31/2019
Other,chicago,area_1,8,810,46.71,72,03/01/2021,03/31/2021
Other,chicago,area_5,25,,57.34,67.34,06/01/2020,06/30/2020
Other,chicago,area_4,11,1110,40.09,36.92,10/01/2019,10/31/2019
Other,chicago,area_2,4,410,49.56,48.82,10/01/2018,10/31/2018
Other,chicago,area_1,8,810,62.39,71.71,12/01/2018,12/31/2018
Other,chicago,area_3,19,1930,63.01,72.64,12/01/2020,12/31/2020
Other,chicago,area_5,17,,63.5,69.31,07/01/2020,07/31/2020
Other,chicago,area_3,19,1920,71.56,74.21,05/01/2019,05/31/2019
Other,chicago,area_3,1,,66.12,68.98,10/01/2018,10/31/2018
Other,chicago,area_3,18,1810,59.61,67.21,10/01/2020,10/31/2020
Other,chicago,area_5,14,1430,65.98,59.77,01/01/2019,01/31/2019
Other,chicago,area_3,24,2410,56.8,70.73,08/01/2020,08/31/2020
Other,chicago,area_2,5,530,56.13,54.58,04/01/2020,04/30/2020
Other,chicago,area_2,5,520,55.76,47.7,12/01/2018,12/31/2018
Other,chicago,area_1,9,930,45.48,67.37,09/01/2020,09/30/2020
Other,chicago,area_3,24,2410,65.11,66.12,09/01/2018,09/30/2018
Other,chicago,area_4,11,1120,45.83,50.67,06/01/2020,06/30/2020
Other,chicago,area_5,25,2520,65.86,67.85,11/01/2019,11/30/2019
Other,chicago,area_3,24,2420,61.49,58.81,08/01/2020,08/31/2020
Other,chicago,CENTRAL,,,65.62,58.58,01/28/2018,02/03/2018
Other,chicago,area_3,18,1830,61.44,67.77,08/01/2019,08/31/2019
Other,chicago,area_1,8,820,51.16,52.64,06/01/2019,06/30/2019
Other,chicago,area_1,9,,51.88,55.22,02/01/2019,02/28/2019
Other,chicago,area_2,5,510,56.18,44.33,04/01/2019,04/30/2019
Other,chicago,area_3,,,66.94,67.22,07/01/2019,07/31/2019
Other,chicago,area_5,14,,54.46,70.95,07/01/2020,07/31/2020
Other,chicago,area_3,1,120,55.25,64.14,01/01/2020,01/31/2020
Other,chicago,area_3,1,110,67.95,85.72,06/01/2020,06/30/2020
Other,chicago,area_3,20,2020,71.03,68.15,12/01/2017,12/31/2017
Other,chicago,area_5,,,66.53,67.86,08/01/2018,08/31/2018
Other,chicago,area_5,17,1730,65.41,70.85,07/01/2019,07/31/2019
Other,chicago,area_2,5,,56.34,59.77,11/01/2017,11/30/2017
Other,chicago,CENTRAL,,,64.88,56.33,04/22/2018,04/28/2018
Other,chicago,area_3,12,,63.78,67.26,05/01/2020,05/31/2020
Other,chicago,SOUTH,,,60.83,56.02,01/14/2018,01/20/2018
Other,chicago,area_4,10,,51.22,55.77,11/01/2017,11/30/2017
Other,chicago,area_5,25,2520,49.21,70.96,09/01/2020,09/30/2020
Other,chicago,area_5,16,1630,74.8,77.68,03/01/2019,03/31/2019
Other,chicago,area_3,,,61.1,69.98,03/01/2020,03/31/2020
Other,chicago,area_1,7,720,42.73,49.86,12/01/2020,12/31/2020
Other,chicago,area_1,,,58.57,57.54,07/01/2018,07/31/2018
Other,chicago,area_2,4,410,43.47,43.63,09/01/2019,09/30/2019
Other,chicago,area_1,8,820,59.24,59.79,11/01/2018,11/30/2018
