ORG_LEVEL,CITY,AREA,DISTRICT,SECTOR,SAFETY,TRUST,START_DATE,END_DATE
Other,chicago,area_5,25,2550,56.68,52.14,09/01/2018,09/30/2018
Other,chicago,area_2,4,420,55.17,43.52,12/01/2018,12/31/2018
Other,chicago,area_3,1,130,60.92,57.3,09/01/2020,09/30/2020
Other,chicago,area_5,25,,59.94,58.06,01/01/2019,01/31/2019
Other,chicago,area_1,2,,56.85,55.65,07/01/2019,07/31/2019
Other,chicago,area_1,7,730,51.83,49.91,05/01/2018,05/31/2018
Other,chicago,area_1,2,,59.83,52.11,10/01/2020,10/31/2020
Other,chicago,area_3,24,2410,70.1,63.02,02/01/2018,02/28/2018
Other,chicago,area_4,10,1020,46.58,48.95,08/01/2019,08/31/2019
Other,chicago,area_1,7,720,46.15,43.48,03/01/2019,03/31/2019
Other,chicago,area_4,15,1510,41.79,52.6,07/01/2020,07/31/2020
Other,chicago,area_3,1,,72.9,73.2,07/01/2019,07/31/2019
Other,chicago,,,,59.19,58.65,10/14/2018,10/20/2018
Other,chicago,,,,59.19,58.65,10/14/2018,10/20/2018
Other,chicago,area_1,7,720,53.74,55.78,04/01/2020,04/30/2020
Other,chicago,area_2,22,2230,55.55,64.65,02/01/2020,02/29/2020
Other,chicago,area_5,14,1430,57.35,67.61,02/01/2020,02/29/2020
Other,chicago,area_3,18,1810,66.41,69.94,11/01/2020,11/30/2020
Other,chicago,area_2,4,420,55.4,49.72,03/01/2018,03/31/2018
Other,chicago,area_2,5,530,45.67,51.49,10/01/2020,10/31/2020
Other,chicago,area_2,4,410,48.08,46.57,12/01/2020,12/31/2020
Other,chicago,,,,63.67,56.58,04/15/2018,04/21/2018
Other,chicago,,,,63.67,56.58,04/15/2018,04/21/2018
Other,chicago,area_5,25,,58.32,64.48,08/01/2019,08/31/2019
Other,chicago,area_5,17,1710,64.99,61.38,01/01/2019,01/31/2019
Other,chicago,,,,59.82,57.48,06/01/2018,06/30/2018
Other,chicago,area_1,8,810,69.56,62.21,02/01/2018,02/28/2018
Other,chicago,area_3,20,2020,64.99,70.15,06/01/2019,06/30/2019
Other,chicago,area_2,5,520,59.25,46.34,11/01/2018,11/30/2018
Other,chicago,area_1,8,820,53.97,56.59,01/01/2019,01/31/2019
Other,chicago,area_4,10,,42.89,58.88,08/01/2020,08/31/2020
Other,chicago,area_3,1,110,49.91,77.42,11/01/2020,11/30/2020
Other,chicago,area_3,19,1930,66.97,69.48,06/01/2018,06/30/2018
Other,chicago,area_3,20,2020,66.75,76.18,04/01/2020,04/30/2020
Other,chicago,area_3,19,,71.34,64.2,02/01/2018,02/28/2018
Other,chicago,area_1,3,,51.22,52.24,12/01/2020,12/31/2020
Other,chicago,area_5,,,66.74,59.29,04/01/2018,04/30/2018
Other,chicago,area_1,7,,50.6,52.28,02/01/2020,02/29/2020
Other,chicago,area_2,5,520,52.42,47.87,02/01/2019,02/28/2019
Other,chicago,area_5,16,1620,58.86,79.77,02/01/2021,02/28/2021
Other,chicago,area_1,9,910,58.26,62.07,08/01/2018,08/31/2018
Other,chicago,area_4,15,1510,54.92,61.47,09/01/2020,09/30/2020
Other,chicago,area_3,12,1210,67.19,70.7,11/01/2018,11/30/2018
Other,chicago,area_3,19,1910,64.19,68.63,03/01/2021,03/31/2021
Other,chicago,area_4,10,1020,48.82,49.1,10/01/2020,10/31/2020
Other,chicago,area_3,24,2430,67.81,64.83,03/01/2018,03/31/2018
Other,chicago,area_3,,,68.1,61.89,05/01/2018,05/31/2018
Other,chicago,area_2,4,420,49.85,49.18,10/01/2019,10/31/2019
Other,chicago,area_5,25,2550,54.18,61.55,01/01/2021,01/31/2021
Other,chicago,area_5,17,1720,64.63,68.67,01/01/2019,01/31/2019
Other,chicago,area_4,10,1020,52.57,55.51,11/01/2018,11/30/2018
Other,chicago,area_4,11,1110,59.11,51.73,12/01/2017,12/31/2017
Other,chicago,area_5,16,1620,64.32,81.39,07/01/2020,07/31/2020
Other,chicago,area_1,8,830,55.16,61.39,07/01/2018,07/31/2018
Other,chicago,area_3,19,1910,63.68,56.16,09/01/2020,09/30/2020
Other,chicago,area_1,7,,49.83,33.74,01/01/2019,01/31/2019
Other,chicago,area_3,1,110,69.62,73.33,12/01/2018,12/31/2018
Other,chicago,SOUTH,,,57.56,56.63,06/10/2018,06/16/2018
Other,chicago,area_3,24,2420,63.02,60.94,04/01/2019,04/30/2019
Other,chicago,area_4,15,1520,46.41,32.22,03/01/2019,03/31/2019
Other,chicago,area_3,1,,64.16,70.43,11/01/2018,11/30/2018
Other,chicago,area_3,12,1220,63.81,60.64,03/01/2019,03/31/2019
Other,chicago,area_5,25,2520,57.89,56.45,07/01/2018,07/31/2018
Other,chicago,,,,51.91,62.51,08/01/2020,08/31/2020
Other,chicago,area_1,8,810,62.49,67.54,09/01/2019,09/30/2019
Other,chicago,area_5,16,,61.42,81.23,11/01/2020,11/30/2020
Other,chicago,area_1,3,330,51.61,51.85,11/01/2019,11/30/2019
Other,chicago,area_5,25,,57.23,58.98,09/01/2018,09/30/2018
Other,chicago,area_5,16,1610,68.83,87.45,07/01/2020,07/31/2020
Other,chicago,area_1,8,,57.04,57.47,11/01/2017,11/30/2017
Other,chicago,area_3,19,1930,72.88,70.29,12/01/2017,12/31/2017
Other,chicago,area_3,12,,52.21,65.95,08/01/2020,08/31/2020
Other,chicago,area_3,1,130,62.2,71.89,07/01/2020,07/31/2020
Other,chicago,SOUTH,,,66.7,50.21,03/31/2019,04/06/2019
Other,chicago,area_1,8,830,64.65,61.81,02/01/2018,02/28/2018
Other,chicago,area_1,8,820,55.76,56.35,04/01/2019,04/30/2019
Other,chicago,area_3,12,1230,58.48,52.99,12/01/2020,12/31/2020
Other,chicago,area_5,14,1430,64.5,58.83,05/01/2018,05/31/2018
Other,chicago,area_3,20,2020,70.66,71.09,11/01/2019,11/30/2019
Other,chicago,area_1,2,230,56.74,56.78,05/01/2019,05/31/2019
Other,chicago,area_2,5,,56.75,52.96,07/01/2020,07/31/2020
Other,chicago,area_4,11,1110,46.38,42.02,11/01/2018,11/30/2018
Other,chicago,area_1,7,,51.25,47.24,09/01/2018,09/30/2018
Other,chicago,area_3,18,1820,69.13,64.85,04/01/2018,04/30/2018
Other,chicago,area_2,5,520,43.1,53.16,02/01/2021,02/28/2021
Other,chicago,area_2,4,430,55.9,56.07,06/01/2018,06/30/2018
Other,chicago,area_1,8,,59.02,61.75,11/01/2018,11/30/2018
Other,chicago,area_5,14,1410,67.18,61.88,08/01/2018,08/31/2018
Other,chicago,area_4,15,1530,49.84,47.9,09/01/2020,09/30/2020
Other,chicago,area_5,14,1420,60.38,58.46,09/01/2018,09/30/2018
Other,chicago,area_3,1,120,52.59,66.21,01/01/2021,01/31/2021
Other,chicago,area_2,4,,52.75,52.47,10/01/2019,10/31/2019
Other,chicago,area_5,14,,61.14,56.9,12/01/2019,12/31/2019
Other,chicago,area_5,16,1610,65.3,85.08,12/01/2020,12/31/2020
Other,chicago,area_5,25,,63.65,65.17,12/01/2019,12/31/2019
Other,chicago,area_3,1,130,63.37,68.73,12/01/2018,12/31/2018
Other,chicago,area_3,1,,72.2,63.36,05/01/2018,05/31/2018
Other,chicago,area_5,16,1610,75.93,78.67,09/01/2018,09/30/2018
Other,chicago,area_4,10,,51.88,43.42,07/01/2019,07/31/2019
Other,chicago,area_2,22,,61.34,58.9,10/01/2018,10/31/2018
Other,chicago,area_1,2,220,57.78,53.03,09/01/2019,09/30/2019
Other,chicago,area_5,25,,52.95,63.42,03/01/2021,03/31/2021
Other,chicago,area_3,20,2010,67.41,71.02,10/01/2018,10/31/2018
Other,chicago,area_4,11,1120,49.49,40.4,04/01/2020,04/30/2020
Other,chicago,area_3,12,1210,62.03,57.27,05/01/2018,05/31/2018
Other,chicago,,,,63.22,56.69,04/22/2018,04/28/2018
Other,chicago,,,,63.22,56.69,04/22/2018,04/28/2018
Other,chicago,area_2,22,2230,64.95,60.58,02/01/2018,02/28/2018
Other,chicago,area_5,14,1410,69.98,59.42,03/01/2018,03/31/2018
Other,chicago,area_2,4,430,63.61,67.13,05/01/2020,05/31/2020
Other,chicago,area_1,2,,63.53,54.67,03/01/2018,03/31/2018
Other,chicago,area_3,12,1220,61.54,60.42,05/01/2018,05/31/2018
Other,chicago,area_1,7,720,53.76,47.9,09/01/2019,09/30/2019
Other,chicago,area_2,22,2230,67.11,58.86,01/01/2018,01/31/2018
Other,chicago,CENTRAL,,,57.14,56.62,09/23/2018,09/29/2018
Other,chicago,,,,64.76,62.71,07/08/2018,07/14/2018
Other,chicago,,,,64.76,62.71,07/08/2018,07/14/2018
Other,chicago,area_2,22,2230,62.74,48.18,09/01/2018,09/30/2018
Other,chicago,area_5,17,1730,68.61,64.14,09/01/2018,09/30/2018
Other,chicago,area_3,18,1820,71.31,64.19,07/01/2018,07/31/2018
Other,chicago,area_1,3,320,47.15,43.71,03/01/2019,03/31/2019
Other,chicago,NORTH,,,67.12,67.73,08/05/2018,08/11/2018
Other,chicago,area_4,11,1110,41.6,44.73,10/01/2018,10/31/2018
Other,chicago,area_5,14,1430,64.68,65.29,10/01/2018,10/31/2018
Other,chicago,area_1,8,,63.61,61.62,02/01/2018,02/28/2018
Other,chicago,area_3,1,120,50.26,72.37,09/01/2020,09/30/2020
Other,chicago,area_3,12,,60.47,59.63,06/01/2019,06/30/2019
Other,chicago,CENTRAL,,,66.45,58.49,05/06/2018,05/12/2018
Other,chicago,area_4,10,1020,57.31,51.59,05/01/2019,05/31/2019
Other,chicago,area_1,8,820,56.63,60.82,02/01/2018,02/28/2018
Other,chicago,area_5,,,64.1,65.11,11/01/2018,11/30/2018
Other,chicago,area_3,19,,69.47,68.21,03/01/2019,03/31/2019
Other,chicago,area_5,17,1720,54.72,73.17,10/01/2020,10/31/2020
Other,chicago,area_2,22,2220,62.84,53.58,08/01/2019,08/31/2019
Other,chicago,area_1,2,,61.49,54.93,04/01/2019,04/30/2019
Other,chicago,area_2,6,630,51.53,47.57,12/01/2020,12/31/2020
Other,chicago,area_2,5,530,57.75,55.07,07/01/2018,07/31/2018
Other,chicago,area_5,14,1430,66.77,68.7,11/01/2017,11/30/2017
Other,chicago,area_1,8,820,59.71,55.29,05/01/2018,05/31/2018
Other,chicago,area_2,5,520,54.58,60.11,01/01/2020,01/31/2020
Other,chicago,SOUTH,,,58.59,57.68,04/29/2018,05/05/2018
Other,chicago,area_3,12,1230,58.58,59.58,09/01/2020,09/30/2020
Other,chicago,area_5,14,1420,61.54,63.14,01/01/2020,01/31/2020
Other,chicago,area_2,4,420,55.86,48.32,07/01/2019,07/31/2019
Other,chicago,area_1,3,310,60.75,54.46,05/01/2020,05/31/2020
Other,chicago,area_1,7,730,45.22,45.5,10/01/2019,10/31/2019
Other,chicago,area_3,24,,67.24,63.5,01/01/2018,01/31/2018
Other,chicago,area_5,14,1420,50.77,63.02,04/01/2020,04/30/2020
Other,chicago,SOUTH,,,63.08,59.66,01/07/2018,01/13/2018
Other,chicago,area_2,4,420,58.66,62.75,10/01/2020,10/31/2020
Other,chicago,area_2,4,410,45.77,46.95,09/01/2020,09/30/2020
Other,chicago,area_1,9,910,56.82,61.07,12/01/2018,12/31/2018
Other,chicago,area_1,3,330,51.54,49.73,02/01/2020,02/29/2020
Other,chicago,area_4,15,1530,47.58,47.79,07/01/2019,07/31/2019
Other,chicago,area_4,11,1110,61.66,54.55,02/01/2018,02/28/2018
Other,chicago,area_4,11,1120,60.89,54.76,01/01/2018,01/31/2018
Other,chicago,area_2,6,630,55.92,56.32,11/01/2019,11/30/2019
Other,chicago,area_3,18,1810,60.76,74.89,02/01/2020,02/29/2020
Other,chicago,area_1,8,820,42.51,78.73,08/01/2020,08/31/2020
Other,chicago,area_3,,,68.12,68.15,08/01/2018,08/31/2018
Other,chicago,area_1,3,310,45.24,45.85,09/01/2020,09/30/2020
Other,chicago,area_4,10,1030,54.89,53.07,12/01/2019,12/31/2019
Other,chicago,area_1,2,230,63.92,53.19,01/01/2018,01/31/2018
Other,chicago,area_4,15,1530,41.77,49.97,11/01/2020,11/30/2020
Other,chicago,area_4,11,1130,50.31,44.98,03/01/2019,03/31/2019
Other,chicago,area_4,10,1020,39.26,62.36,08/01/2020,08/31/2020
Other,chicago,area_4,11,1130,45.98,39.66,04/01/2019,04/30/2019
Other,chicago,area_2,22,,65.61,63.47,07/01/2018,07/31/2018
Other,chicago,area_3,18,1820,54.55,71,10/01/2020,10/31/2020
Other,chicago,area_3,24,2420,51.74,63.68,02/01/2021,02/28/2021
Other,chicago,area_4,15,,46.55,52.73,09/01/2019,09/30/2019
Other,chicago,area_2,5,510,61.19,59.35,12/01/2017,12/31/2017
Other,chicago,,,,56.09,58.26,08/01/2019,08/31/2019
Other,chicago,NORTH,,,67.9,59.22,02/04/2018,02/10/2018
Other,chicago,area_2,5,,48.22,51.45,09/01/2019,09/30/2019
Other,chicago,area_1,3,330,52.94,44.08,12/01/2018,12/31/2018
Other,chicago,area_2,6,610,47.71,46.78,09/01/2018,09/30/2018
Other,chicago,area_3,19,1930,55.75,65.37,02/01/2021,02/28/2021
Other,chicago,area_2,4,430,57.62,66.44,03/01/2021,03/31/2021
Other,chicago,area_3,12,1230,63.14,61,05/01/2018,05/31/2018
Other,chicago,area_5,25,,54.73,58.16,11/01/2018,11/30/2018
Other,chicago,area_3,24,2410,56.35,60.43,02/01/2021,02/28/2021
Other,chicago,area_2,,,47.19,52.58,02/01/2021,02/28/2021
Other,chicago,area_4,15,,42.84,53.56,03/01/2021,03/31/2021
Other,chicago,area_2,,,54.24,57.06,07/01/2020,07/31/2020
Other,chicago,area_5,17,1720,61.7,66.72,11/01/2019,11/30/2019
Other,chicago,area_2,4,430,54.87,59.28,10/01/2019,10/31/2019
Other,chicago,area_3,24,2430,62.73,68.83,01/01/2020,01/31/2020
Other,chicago,area_1,3,310,50.71,56.79,09/01/2019,09/30/2019
Other,chicago,area_5,16,1630,60.39,70.55,02/01/2020,02/29/2020
Other,chicago,area_3,18,1820,67.43,74.08,08/01/2019,08/31/2019
Other,chicago,area_2,5,510,55.79,44.46,09/01/2020,09/30/2020
Other,chicago,area_3,1,130,62.41,69.2,08/01/2019,08/31/2019
Other,chicago,area_1,3,320,44.42,44.12,12/01/2018,12/31/2018
Other,chicago,area_5,,,66.08,73.16,05/01/2020,05/31/2020
Other,chicago,area_5,16,1650,73.82,74.73,07/01/2018,07/31/2018
Other,chicago,area_3,20,2020,70.45,71.47,10/01/2019,10/31/2019
Other,chicago,area_5,17,1710,69.14,71.79,05/01/2019,05/31/2019
Other,chicago,area_2,,,59.61,54.87,05/01/2018,05/31/2018
Other,chicago,area_5,17,1710,69.81,77.99,04/01/2020,04/30/2020
Other,chicago,area_2,4,430,53.92,61.4,03/01/2019,03/31/2019
Other,chicago,area_5,17,,71.08,66.34,04/01/2019,04/30/2019
Other,chicago,area_1,,,52.69,50.75,05/01/2019,05/31/2019
Other,chicago,area_1,8,810,58.29,83.6,11/01/2020,11/30/2020
Other,chicago,area_4,10,,49.11,51.84,09/01/2020,09/30/2020
Other,chicago,area_5,25,2520,54.82,53.13,05/01/2018,05/31/2018
Other,chicago,area_1,,,56.97,53.77,06/01/2018,06/30/2018
Other,chicago,area_2,5,,54.31,50.24,11/01/2018,11/30/2018
Other,chicago,area_2,6,,53.39,62.34,11/01/2017,11/30/2017
Other,chicago,area_3,24,2430,69.08,72.35,06/01/2020,06/30/2020
Other,chicago,area_2,5,530,50.62,50.04,03/01/2019,03/31/2019
Other,chicago,area_2,6,,56.85,52.76,04/01/2018,04/30/2018
Other,chicago,area_1,7,730,57.68,56.02,11/01/2017,11/30/2017
Other,chicago,area_2,22,2230,57.1,49.97,11/01/2018,11/30/2018
Other,chicago,area_2,22,2210,62.86,81.29,11/01/2020,11/30/2020
Other,chicago,area_4,11,,47.75,52.7,06/01/2020,06/30/2020
Other,chicago,area_1,7,730,56.37,52.49,05/01/2020,05/31/2020
Other,chicago,area_1,3,,62.64,54.78,06/01/2018,06/30/2018
Other,chicago,area_1,7,720,60.26,54.65,02/01/2018,02/28/2018
Other,chicago,area_3,20,2030,66.64,56.92,02/01/2021,02/28/2021
Other,chicago,area_2,6,630,41.24,47.49,09/01/2019,09/30/2019
Other,chicago,area_2,4,,51.92,54.62,11/01/2020,11/30/2020
Other,chicago,area_1,9,930,40.78,64.71,03/01/2021,03/31/2021
Other,chicago,area_1,8,810,61.47,69.31,10/01/2018,10/31/2018
Other,chicago,area_3,18,1810,63,68.92,01/01/2021,01/31/2021
Other,chicago,area_5,16,1610,73.69,78.75,05/01/2019,05/31/2019
Other,chicago,area_3,12,1220,58.86,58.96,09/01/2018,09/30/2018
Other,chicago,area_5,14,1430,71.28,65.02,09/01/2018,09/30/2018
Other,chicago,area_5,16,1650,66.48,71.88,07/01/2019,07/31/2019
Other,chicago,area_4,11,,43.21,42.43,11/01/2018,11/30/2018
Other,chicago,area_3,12,1210,66.12,68.39,02/01/2019,02/28/2019
Other,chicago,area_5,25,2540,52.24,58.36,06/01/2019,06/30/2019
Other,chicago,area_3,20,,64.94,71.61,03/01/2020,03/31/2020
Other,chicago,area_5,14,,62.35,61.91,08/01/2019,08/31/2019
Other,chicago,area_5,25,2540,58.75,62.22,06/01/2018,06/30/2018
Other,chicago,area_2,22,,63.34,60.55,01/01/2018,01/31/2018
Other,chicago,area_3,12,1220,48.09,57.23,01/01/2021,01/31/2021
Other,chicago,area_3,20,2030,70.48,63.87,07/01/2018,07/31/2018
Other,chicago,area_3,24,2410,69.54,76.38,05/01/2020,05/31/2020
Other,chicago,SOUTH,,,55.61,49.62,10/21/2018,10/27/2018
Other,chicago,area_3,20,2030,68.73,69.17,12/01/2019,12/31/2019
Other,chicago,area_5,25,2520,56.78,57.25,03/01/2018,03/31/2018
Other,chicago,,,,57.33,56.16,06/01/2019,06/30/2019
Other,chicago,area_5,16,1630,60.97,72.82,01/01/2020,01/31/2020
Other,chicago,area_3,24,2430,72.34,76.27,05/01/2020,05/31/2020
Other,chicago,,,,66.37,58.6,12/24/2017,12/30/2017
Other,chicago,,,,66.37,58.6,12/24/2017,12/30/2017
Other,chicago,area_1,2,,60.12,60.7,02/01/2020,02/29/2020
Other,chicago,area_1,3,,53.23,57.18,04/01/2020,04/30/2020
Other,chicago,area_3,1,120,61.57,66.57,09/01/2018,09/30/2018
Other,chicago,area_3,20,2030,65.29,70.64,11/01/2019,11/30/2019
Other,chicago,area_1,9,910,63.09,64.15,09/01/2019,09/30/2019
Other,chicago,area_3,1,,59.9,68.9,03/01/2020,03/31/2020
Other,chicago,area_3,12,1230,66.37,61.94,03/01/2019,03/31/2019
Other,chicago,area_2,6,620,57.92,48.84,10/01/2019,10/31/2019
Other,chicago,area_1,2,220,60.65,62.46,01/01/2020,01/31/2020
Other,chicago,area_2,5,520,53.91,54.78,12/01/2019,12/31/2019
Other,chicago,area_1,9,910,62.21,61.5,12/01/2017,12/31/2017
Other,chicago,area_4,15,,52.75,55.64,03/01/2020,03/31/2020
Other,chicago,area_5,17,1710,61.56,72.01,11/01/2019,11/30/2019
Other,chicago,area_3,1,120,68.21,74.88,01/01/2019,01/31/2019
Other,chicago,area_1,7,,52.98,48.38,12/01/2019,12/31/2019
Other,chicago,area_4,15,,53.92,58.93,05/01/2020,05/31/2020
Other,chicago,area_1,7,710,49.15,39.07,05/01/2018,05/31/2018
Other,chicago,NORTH,,,66.81,59.74,05/20/2018,05/26/2018
Other,chicago,area_4,11,,54.16,55.81,03/01/2020,03/31/2020
Other,chicago,area_2,22,2220,55.6,52.35,10/01/2018,10/31/2018
Other,chicago,area_1,2,220,56.4,45.78,03/01/2019,03/31/2019
Other,chicago,area_4,10,1010,43.99,42.96,09/01/2018,09/30/2018
Other,chicago,area_5,17,1720,61.41,74.91,06/01/2020,06/30/2020
Other,chicago,area_2,,,59.09,57.84,01/01/2018,01/31/2018
Other,chicago,area_4,11,,49.26,46.59,06/01/2019,06/30/2019
Other,chicago,area_3,24,2410,63.26,67.37,04/01/2020,04/30/2020
Other,chicago,area_3,1,,69.68,67.48,07/01/2018,07/31/2018
Other,chicago,area_1,3,310,52.49,59.26,08/01/2019,08/31/2019
Other,chicago,area_3,18,1830,47.71,76.59,11/01/2020,11/30/2020
Other,chicago,area_1,9,930,56.11,63.54,11/01/2020,11/30/2020
Other,chicago,area_1,3,330,59.4,50.26,12/01/2017,12/31/2017
Other,chicago,area_5,25,2540,53.32,62.62,08/01/2019,08/31/2019
Other,chicago,area_4,11,1110,60.36,56.72,07/01/2018,07/31/2018
Other,chicago,SOUTH,,,59.37,44.11,09/30/2018,10/06/2018
Other,chicago,area_4,15,,51.65,49.07,11/01/2018,11/30/2018
Other,chicago,area_5,16,,71.84,77.28,05/01/2020,05/31/2020
Other,chicago,area_4,10,,54.26,47.7,05/01/2019,05/31/2019
Other,chicago,area_2,22,,65.99,63.17,04/01/2019,04/30/2019
Other,chicago,area_1,3,,49.9,44.9,05/01/2019,05/31/2019
Other,chicago,area_5,25,2550,54.82,62.17,10/01/2020,10/31/2020
Other,chicago,area_3,,,55.1,64.8,02/01/2021,02/28/2021
Other,chicago,area_3,19,,70.75,63.4,03/01/2018,03/31/2018
Other,chicago,area_5,17,1730,68.26,66.18,09/01/2019,09/30/2019
Other,chicago,area_3,19,1930,68.62,75.67,07/01/2019,07/31/2019
Other,chicago,area_1,8,830,56.93,60.1,10/01/2018,10/31/2018
Other,chicago,area_3,12,,64.74,65.59,05/01/2019,05/31/2019
Other,chicago,area_4,15,,58.3,48.55,03/01/2018,03/31/2018
Other,chicago,area_1,7,730,51.58,47.82,12/01/2019,12/31/2019
Other,chicago,area_5,25,2550,55.12,63.02,01/01/2020,01/31/2020
Other,chicago,area_1,7,710,57.69,49.51,04/01/2018,04/30/2018
Other,chicago,area_1,3,330,54.94,53.3,12/01/2019,12/31/2019
Other,chicago,area_2,22,,67.01,59.2,03/01/2018,03/31/2018
Other,chicago,area_1,9,910,38.61,57.55,03/01/2021,03/31/2021
Other,chicago,area_3,19,1930,65.79,66.06,01/01/2020,01/31/2020
Other,chicago,area_4,,,52.25,52.58,05/01/2020,05/31/2020
Other,chicago,area_1,3,,46.69,46.51,07/01/2020,07/31/2020
Other,chicago,area_3,18,1810,60.99,72.09,10/01/2019,10/31/2019
Other,chicago,area_2,5,520,53.48,48,03/01/2019,03/31/2019
Other,chicago,area_5,14,1420,63.45,65.5,07/01/2018,07/31/2018
Other,chicago,area_4,15,,57.44,43.5,12/01/2018,12/31/2018
Other,chicago,area_3,12,1210,64.96,57.39,11/01/2020,11/30/2020
Other,chicago,area_3,19,1920,69.86,74.67,06/01/2019,06/30/2019
Other,chicago,area_3,24,2420,67.17,62.7,04/01/2018,04/30/2018
Other,chicago,NORTH,,,64.35,57.3,04/22/2018,04/28/2018
Other,chicago,area_2,4,410,62.4,52.14,03/01/2020,03/31/2020
Other,chicago,area_1,9,930,48.05,47.52,01/01/2019,01/31/2019
Other,chicago,area_2,6,630,59.2,63.69,11/01/2017,11/30/2017
Other,chicago,area_1,7,,51.59,50.21,05/01/2020,05/31/2020
Other,chicago,area_1,3,320,50.86,46.82,10/01/2020,10/31/2020
Other,chicago,area_5,16,1630,66.47,76.76,03/01/2020,03/31/2020
Other,chicago,area_4,15,1520,41.91,52.17,08/01/2019,08/31/2019
Other,chicago,area_1,2,210,58.09,60.91,01/01/2020,01/31/2020
Other,chicago,area_3,20,2020,66.28,63.27,12/01/2018,12/31/2018
Other,chicago,NORTH,,,65.07,65.68,08/12/2018,08/18/2018
Other,chicago,area_4,15,1530,50.37,43.15,11/01/2019,11/30/2019
Other,chicago,area_4,10,1030,51.81,51.15,12/01/2018,12/31/2018
Other,chicago,area_2,6,610,59.06,58.33,01/01/2018,01/31/2018
Other,chicago,area_1,3,310,51.49,47.4,10/01/2018,10/31/2018
Other,chicago,area_2,6,620,50.13,52.05,06/01/2020,06/30/2020
Other,chicago,area_3,19,1920,72.35,76.21,10/01/2018,10/31/2018
Other,chicago,area_2,4,430,56.29,63.26,06/01/2020,06/30/2020
Other,chicago,area_5,25,2540,64.81,58.06,04/01/2018,04/30/2018
Other,chicago,area_2,5,,52.34,44.74,10/01/2018,10/31/2018
Other,chicago,area_1,9,930,50.19,47.71,04/01/2019,04/30/2019
Other,chicago,area_3,1,110,67.34,71.62,11/01/2018,11/30/2018
Other,chicago,area_4,10,,53.01,42.18,03/01/2019,03/31/2019
Other,chicago,area_4,11,1120,43.04,42.59,03/01/2021,03/31/2021
Other,chicago,area_1,7,730,51.48,50,09/01/2018,09/30/2018
Other,chicago,CENTRAL,,,68.67,54.52,05/27/2018,06/02/2018
Other,chicago,,,,61.58,57.11,05/01/2018,05/31/2018
Other,chicago,area_3,19,1930,57.19,64.79,01/01/2021,01/31/2021
Other,chicago,area_5,16,,72.42,75.15,02/01/2019,02/28/2019
Other,chicago,area_5,,,65.57,64.8,01/01/2019,01/31/2019
Other,chicago,area_1,3,310,63.2,59.47,07/01/2018,07/31/2018
Other,chicago,area_1,2,230,57.22,53.34,06/01/2019,06/30/2019
Other,chicago,area_1,2,,63.96,56.38,04/01/2018,04/30/2018
Other,chicago,NORTH,,,67.18,63.09,12/24/2017,12/30/2017
Other,chicago,,,,63.94,61.82,04/21/2019,04/27/2019
Other,chicago,area_1,9,910,53.76,62.37,04/01/2020,04/30/2020
Other,chicago,area_3,1,,73.83,66.11,02/01/2018,02/28/2018
Other,chicago,area_1,3,330,56.29,41.46,11/01/2018,11/30/2018
Other,chicago,area_2,6,610,47.38,40.5,10/01/2018,10/31/2018
Other,chicago,area_3,18,1830,57.99,72.93,10/01/2019,10/31/2019
Other,chicago,,,,64.95,59.36,02/25/2018,03/03/2018
Other,chicago,,,,64.95,59.36,02/25/2018,03/03/2018
Other,chicago,area_2,22,2220,58.22,55.93,09/01/2019,09/30/2019
Other,chicago,area_1,,,52.03,58.93,08/01/2020,08/31/2020
Other,chicago,area_5,25,2520,60.27,58.02,02/01/2019,02/28/2019
Other,chicago,area_3,24,2420,56.03,63.86,02/01/2019,02/28/2019
Other,chicago,area_1,3,310,49.13,51.36,11/01/2017,11/30/2017
Other,chicago,area_5,,,64.93,60.79,06/01/2018,06/30/2018
Other,chicago,area_2,6,620,49.82,51.51,08/01/2018,08/31/2018
Other,chicago,,,,66.25,62.97,03/17/2019,03/23/2019
Other,chicago,area_3,24,2410,68.51,64.85,03/01/2018,03/31/2018
Other,chicago,area_1,9,910,46.37,59.35,02/01/2021,02/28/2021
Other,chicago,NORTH,,,64.82,65.73,10/14/2018,10/20/2018
Other,chicago,area_1,8,,60.74,55.17,04/01/2018,04/30/2018
Other,chicago,area_1,3,320,54.44,50.94,08/01/2018,08/31/2018
Other,chicago,area_5,25,,59.08,65.83,12/01/2020,12/31/2020
Other,chicago,area_4,11,1110,61.64,52.68,04/01/2018,04/30/2018
Other,chicago,area_5,17,1710,67.7,58.7,05/01/2018,05/31/2018
Other,chicago,area_1,7,730,49.3,35.26,11/01/2018,11/30/2018
Other,chicago,area_1,9,920,45.43,62.79,03/01/2021,03/31/2021
Other,chicago,area_1,3,310,57.87,51.25,04/01/2018,04/30/2018
Other,chicago,area_3,20,2010,69.66,61.37,02/01/2019,02/28/2019
Other,chicago,area_5,25,2520,55.74,57.98,09/01/2019,09/30/2019
Other,chicago,area_2,6,610,53.52,58.73,04/01/2018,04/30/2018
Other,chicago,SOUTH,,,60.76,54.83,03/18/2018,03/24/2018
Other,chicago,area_5,16,1620,68.56,68.1,02/01/2018,02/28/2018
Other,chicago,,,,60.09,57.65,11/11/2018,11/17/2018
Other,chicago,,,,60.09,57.65,11/11/2018,11/17/2018
Other,chicago,area_1,2,230,54.44,49.9,10/01/2019,10/31/2019
